ensembl_gene_id	gene_biotype	external_gene_name	chromosome_name	logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000133106	protein_coding	EPSTI1	13	3.2524565004837	6.51590047608225	11.2897559335373	1.38218805436629e-20	1.9791550750471e-16	36.2636126563968
ENSG00000089127	protein_coding	OAS1	12	3.45181662208427	7.34871577053322	11.1196995536377	3.53337168714656e-20	2.52971745941258e-16	35.3408336020173
ENSG00000100228	protein_coding	RAB36	22	-2.04439012510585	2.08618383804577	-11.0317694110311	5.74163346652671e-20	2.73314861467473e-16	34.4480544869606
ENSG00000132530	protein_coding	XAF1	17	2.89560648730508	7.89105025485903	10.9781772380284	7.71902486662474e-20	2.73314861467473e-16	34.5702490807055
ENSG00000111335	protein_coding	OAS2	12	3.07550080647385	7.99970328352302	10.939752777873	9.54378313665316e-20	2.73314861467473e-16	34.3600978791658
ENSG00000111801	protein_coding	BTN3A3	6	0.764236519721143	7.02189788691038	10.8495488344302	1.57066658580921e-19	3.61174544392436e-16	33.8792921442826
ENSG00000111331	protein_coding	OAS3	12	3.89659979958336	8.70357890288699	10.8283630327697	1.76564132323979e-19	3.61174544392436e-16	33.7415525686496
ENSG00000137628	protein_coding	DDX60	4	2.77396889341216	6.8675103244685	10.5695620844386	7.3733809746014e-19	1.31974302719147e-15	32.3593385534472
ENSG00000160932	protein_coding	LY6E	8	3.4957258842323	7.2716593259626	10.4945207981587	1.11589578880397e-18	1.77539019998712e-15	31.9520063816648
ENSG00000138642	protein_coding	HERC6	4	2.74505451656783	5.83311316816585	10.1666009591667	6.81546501686019e-18	9.7590643576421e-15	30.1742494708306
ENSG00000108679	protein_coding	LGALS3BP	17	2.17440856851463	5.23865480818905	10.0892297997015	1.04409409441229e-17	1.27631439006822e-14	29.7562926161423
ENSG00000137959	protein_coding	IFI44L	1	5.30288690358656	6.82514527346883	10.0848487655147	1.06961189194906e-17	1.27631439006822e-14	29.7281392898124
ENSG00000132274	protein_coding	TRIM22	11	1.91692583903464	8.57991447019153	9.99238886894519	1.78020388717134e-17	1.96082611233896e-14	29.2317572813273
ENSG00000137965	protein_coding	IFI44	1	4.37312422921667	5.98132085457428	9.96920703654565	2.02263685961683e-17	2.06872408520381e-14	29.1058260115097
